,Date,Close,1st Split ,Final Split
50,3/31/2009,105.12,210.24,210.24
51,4/30/2009,125.83,251.66,251.66
52,5/31/2009,135.81,271.62,271.62
53,6/30/2009,142.43,284.86,284.86
54,7/31/2009,163.39,326.78,326.78
55,8/31/2009,168.21,336.42,336.42
56,9/30/2009,185.35,370.7,370.7
57,10/31/2009,188.5,377,377
58,11/30/2009,199.91,399.82,399.82
59,12/31/2009,210.732,421.464,421.464
60,1/31/2010,192.063,384.126,384.126
61,2/28/2010,204.62,409.24,409.24
62,3/31/2010,235,470,470
63,4/30/2010,261.09,522.18,522.18
64,5/31/2010,256.88,513.76,513.76
65,6/30/2010,251.53,503.06,503.06
66,7/31/2010,257.25,514.5,514.5
67,8/31/2010,243.1,486.2,486.2
68,9/30/2010,283.75,567.5,567.5
69,10/31/2010,300.98,601.96,601.96
70,11/30/2010,311.15,622.3,622.3
71,12/31/2010,322.56,645.12,645.12
72,1/31/2011,339.32,678.64,678.64
73,2/28/2011,353.21,706.42,706.42
74,3/31/2011,348.5075,697.015,697.015
75,4/30/2011,350.13,700.26,700.26
76,5/31/2011,347.83,695.66,695.66
77,6/30/2011,335.67,671.34,671.34
78,7/31/2011,390.48,780.96,780.96
79,8/31/2011,384.83,769.66,769.66
80,9/30/2011,381.32,762.64,762.64
81,10/31/2011,404.78,809.56,809.56
82,11/30/2011,382.2,764.4,764.4
83,12/31/2011,405,810,810
84,1/31/2012,456.48,912.96,912.96
85,2/29/2012,542.44,1084.88,1084.88
86,3/31/2012,599.55,1199.1,1199.1
87,4/30/2012,583.98,1167.96,1167.96
88,5/31/2012,577.73,1155.46,1155.46
89,6/30/2012,584,1168,1168
90,7/31/2012,610.76,1221.52,1221.52
91,8/31/2012,665.24,1330.48,1330.48
92,9/30/2012,667.105,1334.21,1334.21
93,10/31/2012,595.32,1190.64,1190.64
94,11/30/2012,585.28,1170.56,1170.56
95,12/31/2012,532.1729,1064.3458,1064.3458
96,1/31/2013,455.49,910.98,910.98
97,2/28/2013,441.4,882.8,882.8
98,3/31/2013,442.66,885.32,885.32
99,4/30/2013,442.78,885.56,885.56
100,5/31/2013,449.735,899.47,899.47
101,6/30/2013,396.53,793.06,793.06
102,7/31/2013,452.53,905.06,905.06
103,8/31/2013,487.216,974.432,974.432
104,9/30/2013,476.75,953.5,953.5
105,10/31/2013,522.702,1045.404,1045.404
106,11/30/2013,556.07,1112.14,1112.14
107,12/31/2013,561.02,1122.04,1122.04
108,1/31/2014,500.6,1001.2,1001.2
109,2/28/2014,526.24,1052.48,1052.48
110,3/31/2014,536.74,1073.48,1073.48
111,4/30/2014,590.09,1180.18,1180.18
112,5/31/2014,633,1266,1266
113,6/30/2014,92.93,185.86,1301.02
114,7/31/2014,95.6,191.2,1338.4
115,8/31/2014,102.5,205,1435
116,9/30/2014,100.75,201.5,1410.5
117,10/31/2014,108,216,1512
118,11/30/2014,118.93,237.86,1665.02
119,12/31/2014,110.38,220.76,1545.32
120,1/31/2015,117.16,234.32,1640.24
121,2/28/2015,128.46,256.92,1798.44
122,3/31/2015,124.43,248.86,1742.02
123,4/30/2015,125.15,250.3,1752.1
124,5/31/2015,130.28,260.56,1823.92
125,6/30/2015,125.425,250.85,1755.95
126,7/31/2015,121.3,242.6,1698.2
127,8/31/2015,112.76,225.52,1578.64
128,9/30/2015,109.95,219.9,1539.3
129,10/31/2015,119.5,239,1673
130,11/30/2015,118.3,236.6,1656.2
131,12/31/2015,105.26,210.52,1473.64
